match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
7129582838,3/16/2014,2014,World T20,TRUE,First Round,Hong Kong,Nepal,Zahur Ahmed Chowdhury Stadium,Chittagong,Hong Kong,field,Nepal,unknown,T20,Nepal,149,8,21.3,Hong Kong,69,10,17,2014,3,Nepal,Hong Kong,149,69,completed,1500,1500,0,0.5,0.5,0.5,0.5,0.5
-292451440,3/17/2014,2014,World T20,TRUE,First Round,Ireland,Zimbabwe,Sylhet Stadium,,Ireland,field,Ireland,unknown,T20,Zimbabwe,163,5,20.2,Ireland,164,7,20.5,2014,3,Zimbabwe,Ireland,163,164,completed,1500,1500,0,0.5,0.5,0.5,0.5,0.5
-339384486,3/17/2014,2014,World T20,TRUE,First Round,Netherlands,United Arab Emirates,Sylhet Stadium,,United Arab Emirates,bat,Netherlands,unknown,T20,United Arab Emirates,151,10,20.8,Netherlands,152,4,18.8,2014,3,United Arab Emirates,Netherlands,151,152,completed,1500,1500,0,0.5,0.5,0.5,0.5,0.5
-901852254,3/18/2014,2014,World T20,TRUE,First Round,Bangladesh,Nepal,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,Bangladesh,unknown,T20,Nepal,126,5,21.5,Bangladesh,132,2,15.5,2014,3,Nepal,Bangladesh,126,132,completed,1500,1516,-16,0.5,1,0.5,1,0.5
6647625351,3/19/2014,2014,World T20,TRUE,First Round,Ireland,United Arab Emirates,Sylhet Stadium,,Ireland,field,Ireland,unknown,T20,United Arab Emirates,123,6,20.7,Ireland,103,4,14.8,2014,3,United Arab Emirates,Ireland,123,103,completed,1516,1484,32,1,0,1,0,0.5
7227962893,3/19/2014,2014,World T20,TRUE,First Round,Netherlands,Zimbabwe,Sylhet Stadium,,Netherlands,bat,Zimbabwe,unknown,T20,Netherlands,140,5,20.7,Zimbabwe,146,5,20.7,2014,3,Netherlands,Zimbabwe,140,146,completed,1516,1484,32,1,0,1,0,0.5
-737437182,3/20/2014,2014,World T20,TRUE,First Round,Bangladesh,Hong Kong,Zahur Ahmed Chowdhury Stadium,Chittagong,Hong Kong,field,Hong Kong,unknown,T20,Bangladesh,108,10,17,Hong Kong,114,8,20,2014,3,Bangladesh,Hong Kong,108,114,completed,1516.736307,1484,32.73630679,1,0,1,0,0.5
-805560377,3/21/2014,2014,World T20,TRUE,First Round,United Arab Emirates,Zimbabwe,Sylhet Stadium,,Zimbabwe,field,Zimbabwe,unknown,T20,United Arab Emirates,116,9,20.7,Zimbabwe,118,5,13.7,2014,3,United Arab Emirates,Zimbabwe,116,118,completed,1469.469502,1501.469502,-32,0,0.5,0,0.5,0.5
6352911488,3/21/2014,2014,World T20,TRUE,First Round,Ireland,Netherlands,Sylhet Stadium,,Netherlands,field,Netherlands,unknown,T20,Ireland,189,4,20.3,Netherlands,193,4,13.8,2014,3,Ireland,Netherlands,189,193,completed,1530.530498,1498.530498,32,1,0.5,1,0.5,0.5
-597192385,3/21/2014,2014,World T20,TRUE,,India,Pakistan,Shere Bangla National Stadium,Mirpur,India,field,India,unknown,T20,Pakistan,130,7,20.3,India,131,3,19,2014,3,Pakistan,India,130,131,completed,1500,1500,0,0.5,0.5,0.5,0.5,0.5
-384238381,3/22/2014,2014,World T20,TRUE,,South Africa,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Chittagong,Sri Lanka,bat,Sri Lanka,unknown,T20,Sri Lanka,165,7,21.2,South Africa,160,8,20.3,2014,3,Sri Lanka,South Africa,165,160,completed,1500,1500,0,0.5,0.5,0.5,0.5,0.5
1205606677,3/22/2014,2014,ICC Men's T20 World Cup,TRUE,,England,New Zealand,Zahur Ahmed Chowdhury Stadium,Chattogram,New Zealand,field,New Zealand,unknown,T20,England,172,6,21,New Zealand,52,1,5.3,2014,3,England,New Zealand,172,52,completed,1500,1500,0,0.5,0.5,0.5,0.5,0.5
5470795787,3/23/2014,2014,World T20,TRUE,,Australia,Pakistan,Shere Bangla National Stadium,Mirpur,Australia,field,Pakistan,unknown,T20,Pakistan,191,5,20.7,Australia,175,10,20.2,2014,3,Pakistan,Australia,191,175,completed,1500,1484,16,0,0,0,0,0.5
4054500328,3/23/2014,2014,World T20,TRUE,,India,West Indies,Shere Bangla National Stadium,Mirpur,India,field,India,unknown,T20,West Indies,129,7,22.2,India,130,3,20.2,2014,3,West Indies,India,129,130,completed,1516,1500,16,1,0.5,1,0.5,0.5
-295853041,3/23/2014,2014,Women's World T20,TRUE,,Australia,New Zealand,Sylhet Stadium,,Australia,field,New Zealand,unknown,T20,New Zealand,128,8,20.3,Australia,121,10,19.8,2014,3,New Zealand,Australia,128,121,completed,1483.263693,1516,-32.73630679,0,1,0,1,0.5
7037359483,3/24/2014,2014,Women's World T20,TRUE,,India,Sri Lanka,Sylhet Stadium,,Sri Lanka,bat,Sri Lanka,unknown,T20,Sri Lanka,128,8,20.5,India,106,9,20.2,2014,3,Sri Lanka,India,128,106,completed,1531.263693,1516,15.26369321,1,1,1,1,0.5
-920567974,3/24/2014,2014,Women's World T20,TRUE,,England,West Indies,Sylhet Stadium,,England,field,West Indies,unknown,T20,West Indies,133,7,20.7,England,124,9,21,2014,3,West Indies,England,133,124,completed,1484,1484.736307,-0.736306794,0,0,0,0,0.5
-512234648,3/24/2014,2014,World T20,TRUE,,Netherlands,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Chittagong,Sri Lanka,field,Sri Lanka,unknown,T20,Netherlands,39,10,10.5,Sri Lanka,40,1,5.5,2014,3,Netherlands,Sri Lanka,39,40,completed,1516,1532.702467,-16.70246717,0.666666667,1,0.666666667,1,0.5
9152869736,3/24/2014,2014,World T20,TRUE,,New Zealand,South Africa,Zahur Ahmed Chowdhury Stadium,Chittagong,New Zealand,field,South Africa,unknown,T20,South Africa,170,6,20.2,New Zealand,168,8,20.7,2014,3,South Africa,New Zealand,170,168,completed,1530.496883,1484,46.49688291,1,0,1,0,0.5
-561782021,3/25/2014,2014,World T20,TRUE,,Bangladesh,West Indies,Shere Bangla National Stadium,Mirpur,Bangladesh,field,West Indies,unknown,T20,West Indies,171,7,20.7,Bangladesh,98,10,19.7,2014,3,West Indies,Bangladesh,171,98,completed,1499.23319,1500.702399,-1.469208961,0.5,0.5,0.5,0.5,0.5
1884172107,3/25/2014,2014,Women's World T20,TRUE,,Ireland,New Zealand,Sylhet Stadium,,New Zealand,bat,New Zealand,unknown,T20,New Zealand,171,3,20.7,Ireland,129,6,20.3,2014,3,New Zealand,Ireland,171,129,completed,1513.060997,1512.368315,0.692682116,0.666666667,0.666666667,0.666666667,0.666666667,0.5
6976577452,3/26/2014,2014,Women's World T20,TRUE,,England,India,Sylhet Stadium,,India,bat,England,unknown,T20,India,95,9,21,England,98,5,19.2,2014,3,India,England,95,98,completed,1468.033908,1514.561226,-46.5273179,0,0.666666667,0,0.666666667,0.5
-207932476,3/26/2014,2014,Women's World T20,TRUE,,Bangladesh,West Indies,Sylhet Stadium,,West Indies,bat,West Indies,unknown,T20,West Indies,115,10,20.5,Bangladesh,79,10,17.8,2014,3,West Indies,Bangladesh,115,79,completed,1483.300849,1516.634739,-33.33389062,0.333333333,0.666666667,0.333333333,0.666666667,0
-559912181,3/27/2014,2014,World T20,TRUE,,England,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Chittagong,England,field,England,unknown,T20,Sri Lanka,189,4,21,England,190,4,20,2014,3,Sri Lanka,England,189,190,completed,1486.163853,1547.933882,-61.77002915,0.333333333,1,0.333333333,1,0.5
-270565440,3/27/2014,2014,Women's World T20,TRUE,,New Zealand,Pakistan,Sylhet Stadium,,New Zealand,bat,New Zealand,unknown,T20,New Zealand,167,3,20.5,Pakistan,108,7,20.7,2014,3,New Zealand,Pakistan,167,108,completed,1528.400214,1500.736307,27.66390718,0.75,0.5,0.75,0.5,0.5
-589337919,3/27/2014,2014,World T20,TRUE,,Netherlands,South Africa,Zahur Ahmed Chowdhury Stadium,Chittagong,Netherlands,field,South Africa,unknown,T20,South Africa,145,9,20.7,Netherlands,139,10,19.2,2014,3,South Africa,Netherlands,145,139,completed,1500.768585,1502.128568,-1.359983037,0.5,0.5,0.5,0.5,0.5
-820258633,3/28/2014,2014,World T20,TRUE,,Bangladesh,India,Shere Bangla National Stadium,Mirpur,India,field,India,unknown,T20,Bangladesh,138,7,20.3,India,141,2,19.3,2014,3,Bangladesh,India,138,141,completed,1468.831238,1496.431281,-27.60004279,0.25,0.5,0.25,0.5,0.5
-750817598,3/28/2014,2014,Women's World T20,TRUE,,Sri Lanka,West Indies,Sylhet Stadium,,Sri Lanka,bat,West Indies,unknown,T20,Sri Lanka,84,10,17.3,West Indies,87,2,15,2014,3,Sri Lanka,West Indies,84,87,completed,1529.118865,1531.10435,-1.985485407,0.75,0.75,0.75,0.75,0.5
2770744960,3/28/2014,2014,World T20,TRUE,,Australia,West Indies,Shere Bangla National Stadium,Mirpur,Australia,bat,West Indies,unknown,T20,Australia,178,8,21.3,West Indies,179,4,20,2014,3,Australia,West Indies,178,179,completed,1468.76681,1547.012916,-78.24610568,0,0.75,0,0.75,0.5
2100843683,3/29/2014,2014,World T20,TRUE,,Netherlands,New Zealand,Zahur Ahmed Chowdhury Stadium,Chittagong,New Zealand,field,New Zealand,unknown,T20,Netherlands,151,4,20.5,New Zealand,152,4,19.3,2014,3,Netherlands,New Zealand,151,152,completed,1484.831214,1543.128929,-58.29771516,0.4,0.8,0.4,0.8,0.5
-506394530,3/29/2014,2014,World T20,TRUE,,England,South Africa,Zahur Ahmed Chowdhury Stadium,Chittagong,England,field,South Africa,unknown,T20,South Africa,196,5,21.5,England,193,7,21.7,2014,3,South Africa,England,196,193,completed,1504.978871,1518.065939,-13.08706832,0.5,0.666666667,0.5,0.666666667,0.5
1229697641,3/29/2014,2014,Women's World T20,TRUE,,Australia,Pakistan,Sylhet Stadium,,Australia,bat,Australia,unknown,T20,Australia,185,2,20.7,Pakistan,91,9,20.8,2014,3,Australia,Pakistan,185,91,completed,1456.310467,1486.007591,-29.69712422,0,0.333333333,0,0.333333333,0
-915076466,3/29/2014,2014,Women's World T20,TRUE,,Ireland,South Africa,Sylhet Stadium,,South Africa,bat,South Africa,unknown,T20,South Africa,165,5,20,Ireland,79,9,15.3,2014,3,South Africa,Ireland,165,79,completed,1497.029098,1533.463542,-36.43444418,0.5,0.666666667,0.5,0.666666667,0.5
5498029668,3/30/2014,2014,World T20,TRUE,,Australia,India,Shere Bangla National Stadium,Mirpur,Australia,field,India,unknown,T20,India,159,7,21.5,Australia,86,10,16.5,2014,3,India,Australia,159,86,completed,1473.674749,1511.162919,-37.48816979,0.25,0.6,0.25,0.6,0.5
1795681144,3/30/2014,2014,Women's World T20,TRUE,,Bangladesh,India,Sylhet Stadium,,India,bat,India,unknown,T20,India,151,5,20.5,Bangladesh,72,8,20.3,2014,3,India,Bangladesh,151,72,completed,1454.0996,1525.443194,-71.34359342,0.2,0.6,0.2,0.6,0
8685649192,3/30/2014,2014,World T20,TRUE,,Bangladesh,Pakistan,Shere Bangla National Stadium,Mirpur,Pakistan,bat,Pakistan,unknown,T20,Pakistan,190,5,20.8,Bangladesh,140,7,20.3,2014,3,Pakistan,Bangladesh,190,140,completed,1441.339682,1468.643309,-27.3036276,0.2,0.25,0.2,0.25,0.5
1760378335,3/30/2014,2014,Women's World T20,TRUE,,England,Sri Lanka,Sylhet Stadium,,Sri Lanka,bat,England,unknown,T20,Sri Lanka,85,9,21.2,England,86,3,16.3,2014,3,Sri Lanka,England,85,86,completed,1489.581267,1513.210299,-23.6290311,0.4,0.6,0.4,0.6,1
1047260603,3/31/2014,2014,Women's World T20,TRUE,,New Zealand,South Africa,Sylhet Stadium,,New Zealand,bat,South Africa,unknown,T20,New Zealand,114,8,20.5,South Africa,116,5,19.7,2014,3,New Zealand,South Africa,114,116,completed,1556.469136,1547.791797,8.677338384,0.8,0.8,0.833333333,0.8,0
6596404302,3/31/2014,2014,World T20,TRUE,,New Zealand,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Chittagong,New Zealand,field,Sri Lanka,unknown,T20,Sri Lanka,119,10,20,New Zealand,60,9,15.8,2014,3,Sri Lanka,New Zealand,119,60,completed,1540.069613,1496.123816,43.94579661,0.8,0.4,0.833333333,0.5,0.5
2617160962,3/31/2014,2014,World T20,TRUE,,England,Netherlands,Zahur Ahmed Chowdhury Stadium,Chittagong,England,field,Netherlands,unknown,T20,Netherlands,133,5,20.8,England,88,10,18.2,2014,3,Netherlands,England,133,88,completed,1506.66775,1471.491008,35.17674205,0.6,0.2,0.5,0.333333333,0.5
2823056004,3/31/2014,2014,Women's World T20,TRUE,,Ireland,Pakistan,Sylhet Stadium,,Pakistan,bat,Pakistan,unknown,T20,Pakistan,119,6,20.8,Ireland,105,10,20,2014,3,Pakistan,Ireland,119,105,completed,1482.700842,1483.388513,-0.687670284,0.4,0.4,0.4,0.4,0.5
-248700497,4/1/2014,2014,Women's World T20,TRUE,,Bangladesh,Sri Lanka,Sylhet Stadium,,Bangladesh,bat,Bangladesh,unknown,T20,Bangladesh,115,9,20.3,Sri Lanka,112,9,20.3,2014,4,Bangladesh,Sri Lanka,115,112,completed,1426.594478,1514.136871,-87.54239277,0,0.4,0.142857143,0.571428571,0.5
1000098859,4/1/2014,2014,Women's World T20,TRUE,,India,West Indies,Sylhet Stadium,,West Indies,bat,India,unknown,T20,West Indies,117,7,20.5,India,121,1,18.7,2014,4,West Indies,India,117,121,completed,1538.203113,1559.469259,-21.26614638,0.6,1,0.714285714,0.833333333,1
